Current Facility,Race,index,Offense Code,Offense,Severity,Sentence (Years),Gender,Age,Sentence Date,tot
Coleman,W,280,280,280,280,280,280,280,280,491
Coleman Work Camp,W,249,249,249,249,249,249,249,249,491
Coleman Work Camp,H,158,158,158,158,158,158,158,158,491
Coleman,H,124,124,124,124,124,124,124,124,491
Coleman,B,85,85,85,85,85,85,85,85,491
Coleman Work Camp,B,84,84,84,84,84,84,84,84,491
Coleman,A,1,1,1,1,1,1,1,1,491
Coleman,I,1,1,1,1,1,1,1,1,491
Skyview,W,199,199,199,199,199,199,199,199,490
Skyview,B,182,182,182,182,182,182,182,182,490
Bell,B,180,180,180,180,180,180,180,180,490
Bell,W,176,176,176,176,176,176,176,176,490
Bell,H,133,133,133,133,133,133,133,133,490
Skyview,H,106,106,106,106,106,106,106,106,490
Skyview,A,3,3,3,3,3,3,3,3,490
Bell,A,1,1,1,1,1,1,1,1,490
Duncan,W,211,211,211,211,211,211,211,211,488
Duncan,H,164,164,164,164,164,164,164,164,488
Duncan,B,106,106,106,106,106,106,106,106,488
Duncan,A,5,5,5,5,5,5,5,5,488
Duncan,I,2,2,2,2,2,2,2,2,488
East Texas Treatment Facility,W,205,205,205,205,205,205,205,205,459
East Texas Treatment Facility,H,136,136,136,136,136,136,136,136,459
East Texas Treatment Facility,B,115,115,115,115,115,115,115,115,459
East Texas Treatment Facility,A,3,3,3,3,3,3,3,3,459
W Scott,B,162,162,162,162,162,162,162,162,448
W Scott,W,159,159,159,159,159,159,159,159,448
W Scott,H,123,123,123,123,123,123,123,123,448
W Scott,A,4,4,4,4,4,4,4,4,448
Johnston,W,177,177,177,177,177,177,177,177,429
Johnston,B,151,151,151,151,151,151,151,151,429
Johnston,H,99,99,99,99,99,99,99,99,429
Johnston,A,2,2,2,2,2,2,2,2,429
Young,W,228,228,228,228,228,228,228,228,397
Young,B,85,85,85,85,85,85,85,85,397
Young,H,76,76,76,76,76,76,76,76,397
Young,A,7,7,7,7,7,7,7,7,397
Young,I,1,1,1,1,1,1,1,1,397
Halbert,W,238,238,238,238,238,238,238,238,393
Halbert,H,95,95,95,95,95,95,95,95,393
Halbert,B,60,60,60,60,60,60,60,60,393
Kyle,W,130,130,130,130,130,130,130,130,359
Kyle,H,117,117,117,117,117,117,117,117,359
